[RECRUITMENT]
Date	17/05/23 08:33:03
Fichier	1684312383672.txt
Ventilateur	36373 
Système	3.0 
Version	3.0.1.61201 
Statut du contrôle avant utilisation	Succès
Dernière exécution du contrôle avant utilisation	13/05/23 15:43:55
Date format	dd/MM/yy
Language setting	fr_FR
Decimal separator	COMMA
==========
Heure de démarrage de la manœuvre de recrutement	08:06:03
Heure de fin de la manœuvre de recrutement	08:36:03
Plage horaire	30 Minutes

[DATA]
Durée	Cdyn (ml/cmH2O)	Fin PI (cmH2O)	PEP (cmH2O)	Vce (ml)	Vci (ml)	Pmotrice (cmH2O)	I:E ()	FR (resp/min)	IS ()
08:13:31	26,6	30	12	381	389	***	1 : 2,9	26	1,09	
08:13:33	27,1	30	12	381	390	***	1 : 2,9	26	1,09	
08:13:36	26,9	31	12	378	389	***	1 : 2,9	26	1,09	
08:13:38	26,8	31	12	378	385	***	1 : 2,8	26	1,09	
08:13:40	26,8	31	12	379	390	***	1 : 2,8	26	1,08	
08:13:42	26,5	31	12	379	390	***	1 : 2,9	26	1,08	
08:13:45	26,8	31	12	379	389	***	1 : 2,9	26	1,09	
08:13:47	26,0	31	12	380	388	***	1 : 2,9	26	1,09	
08:13:49	25,8	31	12	378	388	***	1 : 2,8	26	1,10	
08:13:52	26,0	31	12	378	387	***	1 : 2,9	26	1,12	
08:13:54	25,9	32	12	380	390	***	1 : 2,9	26	1,14	
08:13:56	26,5	32	12	381	386	***	1 : 2,9	26	1,15	
08:13:59	26,2	32	12	378	388	***	1 : 2,8	26	1,15	
08:14:01	26,2	31	12	382	386	***	1 : 2,8	26	1,15	
08:14:03	26,6	31	12	383	392	***	1 : 2,8	26	1,12	
08:14:06	26,9	31	12	384	391	***	1 : 2,9	26	1,09	
08:14:08	27,1	31	12	379	392	***	1 : 2,9	26	1,08	
08:14:10	26,8	31	12	380	392	***	1 : 2,8	26	1,08	
08:14:13	24,9	27	12	383	388	15	1 : 1,6	26	1,07	
08:14:15	24,8	27	12	386	380	15	1 : 1,5	26	1,06	
08:14:17	24,5	28	12	382	377	16	1 : 1,6	26	1,05	
08:14:20	24,4	28	12	382	377	16	1 : 1,6	26	1,06	
08:14:22	23,8	28	12	382	380	17	1 : 1,5	26	1,08	
08:14:24	23,9	28	12	386	381	16	1 : 1,5	26	1,09	
08:14:27	23,9	28	12	386	381	16	1 : 1,5	26	1,10	
08:14:29	24,3	27	12	387	378	15	1 : 1,6	26	1,10	
08:14:31	24,8	27	12	385	378	15	1 : 1,6	26	1,10	
08:14:34	25,1	27	12	387	379	15	1 : 1,6	26	1,09	
08:14:36	25,1	27	12	384	379	15	1 : 1,5	26	1,07	
08:14:38	25,1	27	12	384	377	15	1 : 1,5	26	1,07	
08:14:40	25,1	27	12	385	379	16	1 : 1,6	26	1,07	
08:14:43	24,9	27	12	386	379	15	1 : 1,6	26	1,08	
08:14:45	24,7	28	12	385	381	16	1 : 1,6	26	1,07	
08:14:47	24,2	28	12	381	382	16	1 : 1,6	26	1,06	
08:14:50	23,9	28	12	381	380	16	1 : 1,5	26	1,06	
08:14:52	23,8	28	12	384	380	16	1 : 1,5	26	1,07	
08:14:54	24,1	27	12	387	379	15	1 : 1,6	26	1,10	
08:14:57	24,5	27	12	384	379	15	1 : 1,6	26	1,11	
08:14:59	24,8	27	12	387	378	15	1 : 1,6	26	1,09	
08:15:01	24,9	27	12	386	378	15	1 : 1,6	26	1,09	
08:15:04	25,1	28	12	385	380	15	1 : 1,6	26	1,08	
08:15:06	25,0	28	12	387	380	15	1 : 1,5	26	1,08	
08:15:08	25,0	27	12	387	379	16	1 : 1,6	26	1,09	
08:15:10	24,9	27	12	386	380	16	1 : 1,6	26	1,09	
08:15:13	24,6	28	12	386	380	16	1 : 1,6	26	1,08	
08:15:15	24,4	28	12	383	378	16	1 : 1,6	26	1,07	
08:15:17	24,1	28	12	381	378	16	1 : 1,6	26	1,08	
08:15:20	24,0	28	12	385	381	17	1 : 1,6	26	1,08	
08:15:22	23,8	28	12	386	381	16	1 : 1,6	26	1,09	
08:15:24	24,0	27	12	385	379	16	1 : 1,6	26	1,09	
08:15:27	24,2	27	12	382	380	15	1 : 1,5	26	1,09	
08:15:29	24,4	27	12	386	380	15	1 : 1,5	26	1,09	
08:15:31	24,6	27	12	385	379	15	1 : 1,5	26	1,10	
08:15:34	24,9	27	12	386	380	15	1 : 1,5	26	1,10	
08:15:36	25,0	27	12	385	380	15	1 : 1,5	26	1,09	
08:15:38	25,3	27	12	386	382	15	1 : 1,5	26	1,08	
08:15:41	25,2	27	12	383	380	15	1 : 1,5	26	1,09	
08:15:43	25,0	27	12	386	381	15	1 : 1,5	26	1,09	
08:15:45	24,8	28	12	385	378	15	1 : 1,6	26	1,09	
08:15:47	24,4	28	12	382	378	16	1 : 1,5	26	1,08	
08:15:50	24,0	28	12	381	380	16	1 : 1,6	26	1,08	
08:15:52	24,0	28	12	386	379	16	1 : 1,6	26	1,08	
08:15:54	24,1	27	12	384	379	16	1 : 1,6	26	1,09	
08:15:57	24,3	27	12	386	380	15	1 : 1,6	26	1,11	
08:15:59	24,7	27	12	386	381	15	1 : 1,6	26	1,12	
08:16:01	25,0	27	12	388	380	15	1 : 1,6	26	1,11	
08:16:04	25,2	27	12	386	380	15	1 : 1,6	26	1,10	
08:16:06	25,3	27	12	384	379	15	1 : 1,6	26	1,08	
08:16:08	25,2	27	12	385	379	15	1 : 1,6	26	1,08	
08:16:11	25,2	27	12	382	381	15	1 : 1,6	26	1,09	
08:16:13	25,2	27	12	386	381	15	1 : 1,6	26	1,09	
08:16:15	25,0	28	12	381	379	15	1 : 1,5	26	1,06	
08:16:17	24,9	28	12	385	379	16	1 : 1,5	26	1,06	
08:16:20	24,6	28	12	384	380	16	1 : 1,5	26	1,06	
08:16:22	24,4	28	12	384	380	16	1 : 1,5	26	1,08	
08:16:24	24,2	28	12	381	377	16	1 : 1,6	26	1,10	
08:16:27	24,2	28	12	384	380	16	1 : 1,5	26	1,10	
08:16:29	24,0	28	12	384	380	16	1 : 1,5	26	1,10	
08:16:31	24,0	28	12	385	380	16	1 : 1,6	26	1,09	
08:16:34	24,0	28	12	384	381	16	1 : 1,6	26	1,09	
08:16:36	24,3	27	12	386	380	15	1 : 1,6	26	1,09	
08:16:38	24,5	27	12	385	380	15	1 : 1,5	26	1,11	
08:16:41	24,8	27	12	384	380	15	1 : 1,6	26	1,12	
08:16:43	24,9	27	12	386	380	15	1 : 1,6	26	1,12	
08:16:45	25,1	27	12	385	379	15	1 : 1,5	26	1,12	
08:16:47	25,2	27	12	386	380	15	1 : 1,6	26	1,11	
08:16:50	25,3	27	12	386	379	15	1 : 1,6	26	1,10	
08:16:52	25,3	27	12	387	380	15	1 : 1,6	26	1,08	
08:16:54	26,4	27	10	458	380	17	1 : 1,5	26	#	
08:16:57	27,4	24	9,9	395	381	14	1 : 1,6	26	#	
08:16:59	27,3	24	10	389	381	14	1 : 1,5	26	#	
08:17:01	27,2	24	9,8	389	379	14	1 : 1,6	26	#	
08:17:04	27,1	24	9,9	384	380	14	1 : 1,5	26	#	
08:17:06	26,9	24	10	386	379	14	1 : 1,5	26	#	
08:17:08	26,7	24	10	385	379	14	1 : 1,5	26	#	
08:17:11	26,6	25	10	385	379	15	1 : 1,5	26	#	
08:17:13	26,2	25	9,9	386	381	15	1 : 1,5	26	1,05	
08:17:15	26,4	25	9,9	386	383	15	1 : 1,5	26	1,05	
08:17:18	26,4	24	10	386	380	14	1 : 1,6	26	1,05	
08:17:20	26,7	24	10	387	380	14	1 : 1,6	26	1,05	
08:17:22	27,0	24	10	387	380	14	1 : 1,6	26	1,05	
08:17:24	27,3	24	10	388	380	14	1 : 1,6	26	1,04	
08:17:27	27,6	24	10	386	383	14	1 : 1,6	26	1,03	
08:17:29	27,4	24	9,9	386	383	14	1 : 1,5	26	1,02	
08:17:31	27,3	24	9,9	384	380	14	1 : 1,5	26	1,03	
08:17:34	27,1	24	10	387	380	14	1 : 1,6	26	1,03	
08:17:36	27,0	24	10	386	380	14	1 : 1,6	26	1,03	
08:17:38	26,6	25	10	384	379	14	1 : 1,6	26	1,02	
08:17:41	26,4	25	9,9	383	383	15	1 : 1,5	26	1,02	
08:17:43	26,2	25	9,9	383	380	15	1 : 1,5	26	1,03	
08:17:45	26,3	25	9,9	385	380	15	1 : 1,5	26	1,04	
08:17:48	26,5	24	10	388	378	14	1 : 1,6	26	1,05	
08:17:50	26,7	24	10	387	378	14	1 : 1,6	26	1,05	
08:17:52	27,0	24	10	386	379	14	1 : 1,6	26	1,05	
08:17:54	27,3	24	10	385	379	14	1 : 1,6	26	1,04	
08:17:57	27,5	24	10	384	379	14	1 : 1,6	26	1,05	
08:17:59	27,3	24	10	385	379	14	1 : 1,6	26	1,04	
08:18:01	27,5	24	9,9	385	379	14	1 : 1,5	26	1,03	
08:18:04	27,2	24	10	386	380	14	1 : 1,6	26	1,03	
08:18:06	27,1	24	9,8	389	382	14	1 : 1,5	26	1,04	
08:18:08	27,0	24	9,9	387	378	14	1 : 1,6	26	1,03	
08:18:11	26,9	24	9,9	384	378	14	1 : 1,5	26	1,03	
08:18:13	26,5	25	10	386	379	15	1 : 1,6	26	1,04	
08:18:15	26,2	25	10	383	379	15	1 : 1,6	26	1,03	
08:18:18	26,4	25	9,9	387	380	15	1 : 1,6	26	1,04	
08:18:20	26,2	25	9,9	385	382	15	1 : 1,5	26	1,04	
08:18:22	26,5	24	10	389	381	15	1 : 1,5	26	1,04	
08:18:24	26,7	24	10	388	383	14	1 : 1,5	26	1,04	
08:18:27	27,2	24	10	388	379	14	1 : 1,5	26	1,05	
08:18:29	27,2	24	10	386	380	14	1 : 1,5	26	1,05	
08:18:31	27,6	24	10	387	379	14	1 : 1,6	26	1,04	
08:18:34	27,1	24	9,7	379	379	14	1 : 1,6	26	1,03	
08:18:36	28,2	24	9,8	392	379	14	1 : 1,6	26	1,03	
08:18:38	27,0	24	9,8	384	379	14	1 : 1,6	26	1,04	
08:18:41	26,9	24	9,9	383	379	14	1 : 1,6	26	1,04	
08:18:43	26,9	24	10	383	379	14	1 : 1,6	26	1,04	
08:18:45	26,7	24	10	383	379	14	1 : 1,6	26	1,05	
08:18:48	26,4	25	10	383	380	15	1 : 1,6	26	1,05	
08:18:50	26,2	25	9,9	385	380	15	1 : 1,5	26	1,06	
08:18:52	26,3	25	9,9	385	378	15	1 : 1,6	26	1,07	
08:18:54	26,2	25	9,9	383	378	15	1 : 1,6	26	1,06	
08:18:57	26,3	25	10	386	380	15	1 : 1,6	26	1,06	
08:18:59	26,5	24	10	386	378	14	1 : 1,6	26	1,06	
08:19:01	26,6	24	10	384	378	14	1 : 1,5	26	1,06	
08:19:04	26,9	24	10	386	380	14	1 : 1,6	26	1,05	
08:19:06	27,0	24	10	386	380	14	1 : 1,5	26	1,05	
08:19:08	27,2	24	10	385	380	14	1 : 1,6	26	1,04	
08:19:11	27,5	24	10	387	380	14	1 : 1,6	26	1,03	
08:19:13	27,2	24	9,9	386	380	14	1 : 1,5	26	1,03	
08:19:15	27,2	24	9,9	384	378	14	1 : 1,5	26	1,03	
08:19:18	27,0	24	9,9	386	380	14	1 : 1,5	26	1,03	
08:19:20	26,9	24	10	385	379	14	1 : 1,5	26	1,03	
08:19:22	26,6	24	9,9	385	381	15	1 : 1,6	26	1,02	
08:19:24	26,2	25	9,9	383	380	15	1 : 1,6	26	1,02	
08:19:27	26,2	25	9,9	385	380	15	1 : 1,6	26	1,03	
08:19:29	26,1	24	9,9	384	381	15	1 : 1,5	26	1,04	
08:19:31	26,5	24	9,9	387	381	15	1 : 1,5	26	1,05	
08:19:34	26,5	24	10	385	380	14	1 : 1,6	26	1,05	
08:19:36	26,6	24	10	387	380	14	1 : 1,6	26	1,04	
08:19:38	26,9	24	10	387	379	14	1 : 1,6	26	1,05	
08:19:41	26,8	24	10	381	381	14	1 : 1,5	26	1,05	
08:19:43	26,8	24	10	384	379	14	1 : 1,6	26	1,07	
08:19:45	27,0	24	10	385	379	14	1 : 1,6	26	1,07	
08:19:48	27,1	24	10	387	379	14	1 : 1,6	26	1,06	
08:19:50	27,3	24	10	385	380	14	1 : 1,6	26	1,05	
08:19:52	27,3	24	9,9	384	378	14	1 : 1,6	26	1,04	
08:19:54	27,3	24	10	384	379	14	1 : 1,5	26	1,04	
08:19:57	27,1	24	9,8	388	381	14	1 : 1,6	26	1,04	
08:19:59	26,9	24	9,9	386	379	14	1 : 1,5	26	1,03	
08:20:01	26,6	24	10	384	379	14	1 : 1,6	26	1,03	
08:20:04	26,6	25	10	384	380	15	1 : 1,6	26	1,05	
08:20:06	26,4	25	10	385	380	15	1 : 1,6	26	1,05	
08:20:08	26,1	25	10	382	380	15	1 : 1,6	26	1,06	
08:20:11	26,1	25	9,9	386	382	15	1 : 1,5	26	1,07	
08:20:13	26,1	25	9,9	385	380	15	1 : 1,5	26	1,07	
08:20:15	26,3	24	10	385	380	14	1 : 1,5	26	1,07	
